,brand,model,transmission,make_year,fuel_type,engine_capacity(CC),km_driven,ownership,price,overall_cost,has_insurance,spare_key,reg_number,title
621,Maruti,IGNIS DELTA 1.2 AMT,Automatic,2018.0,Petrol,1197.0,42726.0,2nd owner,435000,8497.0,True,No,UP78,2018 Maruti IGNIS DELTA 1.2 AMT
622,Honda,Amaze 1.2L I-VTEC V,Manual,2019.0,Petrol,1199.0,37520.0,1st owner,630000,12314.0,True,Yes,UP16,2019 Honda Amaze 1.2L I-VTEC V
624,Maruti,Celerio VXI AMT,Automatic,2014.0,Petrol,998.0,102506.0,1st owner,291000,6478.0,True,Yes,UP14,2014 Maruti Celerio VXI AMT
625,KIA,CARENS LUXURY PLUS 1.4 PETROL 7 STR,Manual,2022.0,Petrol,1353.0,17046.0,2nd owner,1441000,27428.0,True,Yes,UP14,2022 KIA CARENS LUXURY PLUS 1.4 PETROL 7 STR
626,Hyundai,Elite i20 MAGNA 1.2,Manual,2016.0,Petrol,1197.0,84053.0,1st owner,434000,8493.0,True,Yes,DL8C,2016 Hyundai Elite i20 MAGNA 1.2
627,Hyundai,Creta S 1.6 PETROL,Manual,2016.0,Petrol,1591.0,69725.0,1st owner,684000,13366.0,True,No,UP14,2016 Hyundai Creta S 1.6 PETROL
628,Hyundai,AURA S 1.2 CNG,Manual,2022.0,CNG,1197.0,17709.0,1st owner,750000,14663.0,True,Yes,UP14,2022 Hyundai AURA S 1.2 CNG
629,KIA,SELTOS GTX PLUS AT 1.5 DIESEL,Automatic,2019.0,Diesel,1493.0,29529.0,1st owner,1249000,27156.0,True,No,UP81,2019 KIA SELTOS GTX PLUS AT 1.5 DIESEL
630,Datsun,Redi Go A,Manual,2018.0,Petrol,799.0,45255.0,1st owner,225000,4404.0,True,No,UP14,2018 Datsun Redi Go A
631,Hyundai,Elite i20 SPORTZ PLUS 1.2 DUAL TONE,Manual,2019.0,Petrol,1197.0,32118.0,1st owner,662000,12945.0,True,No,UP14,2019 Hyundai Elite i20 SPORTZ PLUS 1.2 DUAL TONE
632,Maruti,Wagon R 1.0 VXI,Manual,2016.0,Petrol,998.0,79338.0,1st owner,325000,6348.0,True,No,DL5C,2016 Maruti Wagon R 1.0 VXI
633,Honda,Brio S MT,Manual,2014.0,Petrol,1198.0,58114.0,1st owner,290000,6458.0,True,Yes,DL3C,2014 Honda Brio S MT
634,Maruti,Swift LXI,Manual,2020.0,Petrol,1197.0,39683.0,1st owner,485000,9478.0,True,Yes,UP14,2020 Maruti Swift LXI
636,Hyundai,Xcent E+,Manual,2018.0,CNG,1197.0,103921.0,1st owner,438000,9735.0,True,No,UP14,2018 Hyundai Xcent E+
638,Hyundai,GRAND I10 NIOS MAGNA 1.2 KAPPA VTVT,Manual,2021.0,Petrol,1197.0,14126.0,1st owner,553000,10813.0,True,Yes,UP16,2021 Hyundai GRAND I10 NIOS MAGNA 1.2 KAPPA VTVT
639,Maruti,Wagon R 1.0 LXI,Manual,2014.0,Petrol,998.0,53493.0,1st owner,262000,5824.0,True,No,DL5C,2014 Maruti Wagon R 1.0 LXI
640,MG,HECTOR SHARP HYBRID 1.5 PETROL,Manual,2021.0,Petrol,1451.0,38816.0,1st owner,1503000,28615.0,True,No,UP14,2021 MG HECTOR SHARP HYBRID 1.5 PETROL
641,Hyundai,AURA S 1.2,Manual,2022.0,Petrol,1197.0,25009.0,1st owner,657000,12849.0,True,Yes,DL5C,2022 Hyundai AURA S 1.2
642,Hyundai,Creta SX (O) 1.4 TURBO DCT,Automatic,2020.0,Petrol,1353.0,48230.0,2nd owner,1414000,26907.0,True,Yes,DL12,2020 Hyundai Creta SX (O) 1.4 TURBO DCT
643,Mahindra,Bolero B6 (O),Manual,2021.0,Diesel,1493.0,35315.0,1st owner,860000,16369.0,True,Yes,UP37,2021 Mahindra Bolero B6 (O)
644,Mahindra,Scorpio S11 2WD,Manual,2021.0,Diesel,2179.0,68721.0,1st owner,1480000,28170.0,True,No,UP14,2021 Mahindra Scorpio S11 2WD
646,Maruti,Swift LXI (O),Manual,2016.0,Petrol,1197.0,50176.0,1st owner,390000,7622.0,True,No,DL6C,2016 Maruti Swift LXI (O)
647,Maruti,Wagon R 1.0 LXI CNG,Manual,2018.0,CNG,998.0,65780.0,2nd owner,351000,6869.0,True,No,HR29,2018 Maruti Wagon R 1.0 LXI CNG
